,1,2,3,Standard Averaged Absorbance,Replicate 1,Replicate 2,Replicate 3,Unknown Averaged Absorbance,Unknown Averaged Absorbance Minus Blank,R Squared,Used Equation,Calculated Concentration μg/ μL,Dilution Factor Corrected Concentration μg/ μL (x4.0),Necessary to 5 μg (μl),Necessary to 10 μg (μl),Necessary to 15 μg (μl),Necessary to 20 μg (μl),Necessary to 25 μg (μl),Necessary to 30 μg (μl),Necessary to 35 μg (μl),Necessary to 40 μg (μl),Necessary to 45 μg (μl),Necessary to 50 μg (μl)
2.0,1.02,1.022,1.039,1.027,,,,,,,,,,,,,,,,,,,
1.5,0.837,0.837,0.802,0.825,,,,,,,,,,,,,,,,,,,
1.0,0.607,0.596,0.591,0.598,,,,,,,,,,,,,,,,,,,
0.75,0.498,0.486,0.492,0.492,,,,,,,,,,,,,,,,,,,
0.5,0.36,0.363,0.354,0.359,,,,,,,,,,,,,,,,,,,
0.25,0.243,0.241,0.245,0.243,,,,,,,,,,,,,,,,,,,
0.125,0.176,0.175,0.174,0.175,,,,,,,,,,,,,,,,,,,
0.025,0.115,0.115,0.114,0.115,,,,,,,,,,,,,,,,,,,
Sample1,,,,,0.4,0.404,0.41,0.405,0.287,0.9998,0.0050x^3 + -0.0517x^2 + 0.5449x + 0.1050,0.342,1.367,3.658,7.315,10.973,14.631,18.288,21.946,25.604,29.261,32.919,36.576
Sample2,,,,,0.538,0.536,0.539,0.538,0.42,0.9998,0.0050x^3 + -0.0517x^2 + 0.5449x + 0.1050,0.611,2.444,2.046,4.092,6.137,8.183,10.229,12.275,14.321,16.367,18.412,20.458
Sample3,,,,,1.017,1.0,1.0,1.006,0.888,0.9998,0.0050x^3 + -0.0517x^2 + 0.5449x + 0.1050,1.637,6.547,0.764,1.527,2.291,3.055,3.819,4.582,5.346,6.11,6.873,7.637
Sample4,,,,,0.554,0.559,0.545,0.553,0.435,0.9998,0.0050x^3 + -0.0517x^2 + 0.5449x + 0.1050,0.642,2.57,1.946,3.891,5.837,7.782,9.728,11.673,13.619,15.564,17.51,19.455
Sample5,,,,,0.468,0.468,0.459,0.465,0.348,0.9998,0.0050x^3 + -0.0517x^2 + 0.5449x + 0.1050,0.462,1.846,2.709,5.417,8.126,10.834,13.543,16.251,18.96,21.668,24.377,27.086
Sample6,,,,,0.705,0.715,0.725,0.715,0.598,0.9998,0.0050x^3 + -0.0517x^2 + 0.5449x + 0.1050,0.994,3.978,1.257,2.514,3.771,5.028,6.285,7.541,8.798,10.055,11.312,12.569
Sample7,,,,,0.246,0.244,0.241,0.244,0.126,0.9998,0.0050x^3 + -0.0517x^2 + 0.5449x + 0.1050,0.042,0.167,29.94,59.88,89.82,119.76,149.701,179.641,209.581,239.521,269.461,299.401
Sample8,,,,,0.374,0.365,0.365,0.368,0.251,0.9998,0.0050x^3 + -0.0517x^2 + 0.5449x + 0.1050,0.271,1.083,4.617,9.234,13.85,18.467,23.084,27.701,32.318,36.934,41.551,46.168
Sample9,,,,,0.408,0.404,0.401,0.404,0.287,0.9998,0.0050x^3 + -0.0517x^2 + 0.5449x + 0.1050,0.341,1.364,3.666,7.331,10.997,14.663,18.328,21.994,25.66,29.326,32.991,36.657
Sample10,,,,,0.501,0.507,0.505,0.504,0.387,0.9998,0.0050x^3 + -0.0517x^2 + 0.5449x + 0.1050,0.542,2.167,2.307,4.615,6.922,9.229,11.537,13.844,16.151,18.459,20.766,23.073
Sample11,,,,,0.436,0.435,0.442,0.438,0.32,0.9998,0.0050x^3 + -0.0517x^2 + 0.5449x + 0.1050,0.407,1.627,3.073,6.146,9.219,12.293,15.366,18.439,21.512,24.585,27.658,30.731
Sample12,,,,,0.338,0.337,0.344,0.34,0.222,0.9998,0.0050x^3 + -0.0517x^2 + 0.5449x + 0.1050,0.217,0.868,5.76,11.521,17.281,23.041,28.802,34.562,40.323,46.083,51.843,57.604
Sample13,,,,,0.666,0.647,0.642,0.652,0.534,0.9998,0.0050x^3 + -0.0517x^2 + 0.5449x + 0.1050,0.855,3.421,1.462,2.923,4.385,5.846,7.308,8.769,10.231,11.692,13.154,14.616
Sample14,,,,,0.507,0.512,0.507,0.509,0.391,0.9998,0.0050x^3 + -0.0517x^2 + 0.5449x + 0.1050,0.551,2.203,2.27,4.539,6.809,9.079,11.348,13.618,15.887,18.157,20.427,22.696
Sample15,,,,,0.536,0.559,0.536,0.544,0.426,0.9998,0.0050x^3 + -0.0517x^2 + 0.5449x + 0.1050,0.624,2.495,2.004,4.008,6.012,8.016,10.02,12.024,14.028,16.032,18.036,20.04
Sample16,,,,,0.477,0.487,0.481,0.482,0.364,0.9998,0.0050x^3 + -0.0517x^2 + 0.5449x + 0.1050,0.496,1.982,2.523,5.045,7.568,10.091,12.614,15.136,17.659,20.182,22.704,25.227
Sample17,,,,,0.551,0.589,0.565,0.568,0.451,0.9998,0.0050x^3 + -0.0517x^2 + 0.5449x + 0.1050,0.676,2.703,1.85,3.7,5.549,7.399,9.249,11.099,12.949,14.798,16.648,18.498
Sample18,,,,,0.58,0.592,0.591,0.588,0.47,0.9998,0.0050x^3 + -0.0517x^2 + 0.5449x + 0.1050,0.717,2.868,1.743,3.487,5.23,6.974,8.717,10.46,12.204,13.947,15.69,17.434
Sample19,,,,,0.6,0.599,0.582,0.594,0.476,0.9998,0.0050x^3 + -0.0517x^2 + 0.5449x + 0.1050,0.73,2.919,1.713,3.426,5.139,6.852,8.565,10.277,11.99,13.703,15.416,17.129
Sample20,,,,,0.784,0.797,0.807,0.796,0.679,0.9998,0.0050x^3 + -0.0517x^2 + 0.5449x + 0.1050,1.175,4.699,1.064,2.128,3.192,4.256,5.32,6.384,7.448,8.512,9.577,10.641
Blank,,,,,0.119,0.117,0.116,0.117,0.0,0.9998,0.0050x^3 + -0.0517x^2 + 0.5449x + 0.1050,,,,,,,,,,,,
